epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.36257,3.7253,26.5475,3.60526,0,0,0,0,6.00486,12.0448,3.70392,0,0,0
2,2.6542,4.75103,8.16199,3.95075,0,0,0,0,6.03711,12.2969,3.70796,1.9802e-05,1.9802e-05,1.9802e-05
3,4.0205,2.76159,51.8783,2.18019,0,0,0,0,6.0589,12.7365,3.7009,3.9208e-05,3.9208e-05,3.9208e-05
4,5.32806,3.36565,12.9483,2.31886,0,0,0,0,6.0548,13.6954,3.66905,5.8218e-05,5.8218e-05,5.8218e-05
5,6.54427,4.34001,12.157,3.15611,0,0,0,0,6.04336,14.1436,3.6397,7.6832e-05,7.6832e-05,7.6832e-05
6,7.86011,4.09075,7.85981,2.75735,0,0,0,0,6.0078,14.5592,3.57375,9.505e-05,9.505e-05,9.505e-05
7,9.13501,3.15208,5.29683,2.60085,0,0,0,0,5.94593,14.8261,3.49841,0.000112872,0.000112872,0.000112872
8,10.6131,4.14703,14.8661,2.64583,0,0,0,0,5.88216,14.7938,3.42821,0.000130298,0.000130298,0.000130298
9,11.9126,3.60185,6.6562,2.65185,0,0,0,0,5.82086,14.809,3.36318,0.000147328,0.000147328,0.000147328
10,13.1699,4.36348,9.98656,2.7747,0,0,0,0,5.76515,14.7716,3.30136,0.000163962,0.000163962,0.000163962
11,14.6074,4.0476,7.54294,3.02018,0,0,0,0,5.81694,19.2656,3.55267,0.0001802,0.0001802,0.0001802
12,16.5608,1.95314,5.44487,1.92434,0.00333,1,0.01686,0.00835,2.6045,6.3538,2.15644,0.000196042,0.000196042,0.000196042
13,18.4954,1.65544,6.53263,1.74748,0.07668,1,0.199,0.03651,1.99722,4.98206,2.0041,0.000211488,0.000211488,0.000211488
14,20.5541,2.6779,8.07651,2.75523,0.23414,1,0.24875,0.02488,3.88058,7.28203,2.24833,0.000226538,0.000226538,0.000226538
15,22.4158,3.12989,5.28449,2.19184,0.91735,1,0.995,0.24955,3.15387,5.38323,2.59355,0.000241192,0.000241192,0.000241192
16,24.5168,4.49748,6.87486,3.11235,0.53109,1,0.995,0.11277,2.94867,3.99558,2.74645,0.00025545,0.00025545,0.00025545
17,26.4805,2.59547,3.5164,1.63758,0.53236,1,0.995,0.24875,2.32403,4.01764,2.40241,0.000269312,0.000269312,0.000269312
18,28.2638,1.7269,2.40657,1.41582,0.53236,1,0.995,0.24875,2.32403,4.01764,2.40241,0.000282778,0.000282778,0.000282778
19,30.5545,1.62826,5.3515,1.90898,0.0037,1,0.02031,0.00922,2.11812,6.53183,2.34644,0.000295848,0.000295848,0.000295848
20,32.328,2.02121,3.4847,1.57741,0.0037,1,0.02031,0.00922,2.11812,6.53183,2.34644,0.000308522,0.000308522,0.000308522
21,34.1832,1.41361,5.04343,1.7671,0.46423,1,0.4975,0.05804,2.37933,5.01072,1.58658,0.0003208,0.0003208,0.0003208
22,35.9457,2.75938,2.79858,1.82767,0.46423,1,0.4975,0.05804,2.37933,5.01072,1.58658,0.000332682,0.000332682,0.000332682
23,37.8562,1.62602,2.92471,1.24837,0.46423,1,0.4975,0.05804,4.71748,10.7107,2.89941,0.000344168,0.000344168,0.000344168
24,39.5182,1.84966,2.76194,1.81185,0.46423,1,0.4975,0.05804,4.71748,10.7107,2.89941,0.000355258,0.000355258,0.000355258
25,41.3887,1.80483,3.21062,1.64692,0.46423,1,0.4975,0.05804,4.89675,6.81931,4.96255,0.000365952,0.000365952,0.000365952
26,43.1315,3.78228,4.09874,3.50568,0.46423,1,0.4975,0.05804,4.89675,6.81931,4.96255,0.00037625,0.00037625,0.00037625
27,44.9183,1.53988,2.35487,1.88714,0.05759,1,0.06219,0.01829,3.13256,19.7986,2.18876,0.000386152,0.000386152,0.000386152
28,46.7559,2.67042,7.36428,3.24279,0.05759,1,0.06219,0.01829,3.13256,19.7986,2.18876,0.000395658,0.000395658,0.000395658
29,48.71,3.09471,11.5002,2.72809,0.3355,1,0.4975,0.199,2.78759,9.27457,11.9865,0.000404768,0.000404768,0.000404768
30,50.5782,2.12402,4.14117,2.26092,0.3355,1,0.4975,0.199,2.78759,9.27457,11.9865,0.000413482,0.000413482,0.000413482
31,52.5915,2.58447,3.28141,2.34404,0.38344,1,0.995,0.30093,2.80938,20.2704,17.7338,0.0004218,0.0004218,0.0004218
32,54.5337,2.36916,2.85371,2.14177,0.38344,1,0.995,0.30093,2.80938,20.2704,17.7338,0.000429722,0.000429722,0.000429722
33,56.4977,1.63606,3.83151,1.91301,0.14286,1,0.33167,0.15754,2.26449,324.094,20.1064,0.000437248,0.000437248,0.000437248
34,58.2803,1.73989,3.5784,2.1513,0.14286,1,0.33167,0.15754,2.26449,324.094,20.1064,0.000444378,0.000444378,0.000444378
35,60.1477,3.07053,2.87448,2.70425,0.01594,1,0.01777,0.00567,2.40761,161.172,13.987,0.000451112,0.000451112,0.000451112
36,62.0287,2.78744,4.03169,2.66386,0.01594,1,0.01777,0.00567,2.40761,161.172,13.987,0.00045745,0.00045745,0.00045745
37,63.8713,2.26426,2.76583,2.26387,0.08347,1,0.33167,0.16583,2.54719,95.8799,1.90989,0.000463392,0.000463392,0.000463392
38,65.659,2.70039,2.58584,2.28347,0.08347,1,0.33167,0.16583,2.54719,95.8799,1.90989,0.000468938,0.000468938,0.000468938
39,67.4805,2.20723,3.30215,2.17782,0.2725,1,0.33167,0.07462,3.24173,19.3592,2.68916,0.000474088,0.000474088,0.000474088
40,69.3142,3.18646,2.37959,2.2128,0.2725,1,0.33167,0.07462,3.24173,19.3592,2.68916,0.000478842,0.000478842,0.000478842
41,71.1622,2.50144,2.41587,1.93442,0.2725,1,0.33167,0.07462,4.35877,74.5748,16.5179,0.0004832,0.0004832,0.0004832
42,72.9379,1.83287,2.08755,1.96463,0.2725,1,0.33167,0.07462,4.35877,74.5748,16.5179,0.000487162,0.000487162,0.000487162
43,74.8461,1.98554,1.94955,2.0466,0.00669,1,0.01877,0.00188,3.96509,297.242,34.7978,0.000490728,0.000490728,0.000490728
44,76.5853,2.40013,3.20798,2.32845,0.00669,1,0.01877,0.00188,3.96509,297.242,34.7978,0.000493898,0.000493898,0.000493898
45,78.4578,2.50203,3.51855,2.29923,0.00394,1,0.00721,0.00387,3.00413,1787.68,42.6846,0.000496672,0.000496672,0.000496672
46,80.2126,1.66956,2.07937,1.79796,0.00394,1,0.00721,0.00387,3.00413,1787.68,42.6846,0.00049905,0.00049905,0.00049905
47,82.1316,2.06996,2.05771,1.85145,0.00417,1,0.02843,0.00569,3.47726,3305.43,151.403,0.000501032,0.000501032,0.000501032
48,83.9997,1.7226,2.08039,1.92535,0.00417,1,0.02843,0.00569,3.47726,3305.43,151.403,0.000502618,0.000502618,0.000502618
49,85.9098,1.8436,2.3213,2.0299,0.00417,1,0.02843,0.00569,3.21672,6598.03,225.962,0.000503808,0.000503808,0.000503808
50,87.8093,1.94536,2.45401,1.83298,0.00417,1,0.02843,0.00569,3.21672,6598.03,225.962,0.000504602,0.000504602,0.000504602
51,89.7828,2.16997,2.11461,2.23235,0.00417,1,0.02843,0.00569,3.1103,inf,359.428,0.000505,0.000505,0.000505
52,91.7035,2.45211,2.00726,2.42288,0.00417,1,0.02843,0.00569,3.1103,inf,359.428,0.000505002,0.000505002,0.000505002
53,93.4736,2.07718,2.12159,2.11004,0.00417,1,0.02843,0.00569,3.1103,inf,359.428,0.000504608,0.000504608,0.000504608
54,95.3099,1.93829,2.18796,2.3744,0.00417,1,0.02843,0.00569,3.27815,inf,68.3865,0.000503818,0.000503818,0.000503818
55,97.1639,2.19618,2.25426,1.9605,0.00417,1,0.02843,0.00569,3.27815,inf,68.3865,0.000502632,0.000502632,0.000502632
56,99.0118,2.33141,1.92332,2.18428,0.00417,1,0.02843,0.00569,3.27815,inf,68.3865,0.00050105,0.00050105,0.00050105
57,101.001,2.04536,1.78199,1.90797,0.00333,1,0.11056,0.01843,2.71906,4203.49,47.4991,0.000499072,0.000499072,0.000499072
58,102.828,1.88765,1.88903,1.89133,0.00333,1,0.11056,0.01843,2.71906,4203.49,47.4991,0.000496698,0.000496698,0.000496698
59,104.692,2.16833,2.12705,1.88785,0.00333,1,0.11056,0.01843,2.71906,4203.49,47.4991,0.000493928,0.000493928,0.000493928
60,106.714,1.59341,1.78079,1.96206,0.00333,1,0.11056,0.01843,4.62508,4669.55,51.074,0.000490762,0.000490762,0.000490762
61,108.705,1.71639,2.10476,2.19069,0.00333,1,0.11056,0.01843,4.62508,4669.55,51.074,0.0004872,0.0004872,0.0004872
62,110.574,1.54785,2.12562,1.97387,0.00333,1,0.11056,0.01843,4.62508,4669.55,51.074,0.000483242,0.000483242,0.000483242
63,112.449,2.28122,3.08567,1.86431,0.00333,1,0.11056,0.01843,1.49265,4336,15.6536,0.000478888,0.000478888,0.000478888
64,114.327,2.12998,2.67978,2.32546,0.00333,1,0.11056,0.01843,1.49265,4336,15.6536,0.000474138,0.000474138,0.000474138
65,116.135,1.59713,2.21317,1.89541,0.00333,1,0.11056,0.01843,1.49265,4336,15.6536,0.000468992,0.000468992,0.000468992
66,118.157,2.0815,1.61895,2.13808,0.01296,1,0.02073,0.00622,3.41932,438.305,15.0848,0.00046345,0.00046345,0.00046345
67,119.993,2.05313,2.2205,1.79931,0.01296,1,0.02073,0.00622,3.41932,438.305,15.0848,0.000457512,0.000457512,0.000457512
68,121.81,1.85434,2.15807,1.83654,0.01296,1,0.02073,0.00622,3.41932,438.305,15.0848,0.000451178,0.000451178,0.000451178
69,123.727,2.04901,2.43124,2.18248,0.01818,1,0.0995,0.01028,3.49427,370.309,18.5417,0.000444448,0.000444448,0.000444448
70,125.549,1.88775,1.97282,1.8466,0.01818,1,0.0995,0.01028,3.49427,370.309,18.5417,0.000437322,0.000437322,0.000437322
71,127.444,1.57647,1.97304,2.11704,0.01818,1,0.0995,0.01028,3.49427,370.309,18.5417,0.0004298,0.0004298,0.0004298
72,129.48,1.447,1.86285,1.6572,0.00633,1,0.33167,0.04422,2.75254,1052.89,14.7219,0.000421882,0.000421882,0.000421882
73,131.502,1.78469,1.86508,2.04953,0.00633,1,0.33167,0.04422,2.75254,1052.89,14.7219,0.000413568,0.000413568,0.000413568
74,133.358,2.35348,2.31496,1.96709,0.00633,1,0.33167,0.04422,2.75254,1052.89,14.7219,0.000404858,0.000404858,0.000404858
75,135.323,1.88168,1.9945,2.08351,0.0101,1,0.07107,0.03909,2.70944,743.589,10.7289,0.000395752,0.000395752,0.000395752
76,137.244,3.23198,2.74355,2.59241,0.0101,1,0.07107,0.03909,2.70944,743.589,10.7289,0.00038625,0.00038625,0.00038625
77,139.082,2.163,1.68006,2.00723,0.0101,1,0.07107,0.03909,2.70944,743.589,10.7289,0.000376352,0.000376352,0.000376352
78,141.002,1.84759,2.03188,2.16893,0.03226,1,0.07654,0.0354,2.59188,287.244,8.28004,0.000366058,0.000366058,0.000366058
79,142.881,1.74592,1.76406,1.74854,0.03226,1,0.07654,0.0354,2.59188,287.244,8.28004,0.000355368,0.000355368,0.000355368
80,144.691,2.03026,1.8985,1.97184,0.03226,1,0.07654,0.0354,2.59188,287.244,8.28004,0.000344282,0.000344282,0.000344282
81,146.639,1.81808,1.74575,1.83591,0.05263,1,0.33167,0.10945,2.73621,179.387,6.85347,0.0003328,0.0003328,0.0003328
