epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.014,3.0789,5.7462,2.30578,8e-05,0.02326,8e-05,1e-05,5.51083,8.54604,4.15271,0.00018,0.00018,0.00018
2,604.758,1.91166,3.72124,1.5679,0.83397,0.93461,0.92156,0.51171,1.53148,1.6648,1.51604,0.000376238,0.000376238,0.000376238
3,902.065,1.53815,2.35293,1.28116,0.01304,1,0.01502,0.01229,1.94406,inf,4.41184,0.000568516,0.000568516,0.000568516
4,1204.04,1.60128,1.85685,1.29019,0.01217,0.86047,0.01512,0.0059,2.61515,inf,21.9368,0.000756834,0.000756834,0.000756834
5,1505.04,1.6036,1.60575,1.28894,0.02663,0.93023,0.05032,0.02584,3.08806,410.281,76.2545,0.000941192,0.000941192,0.000941192
6,1789.53,1.47542,1.3862,1.25521,0.04485,0.7907,0.04091,0.00891,3.59251,213.009,45.8895,0.00112159,0.00112159,0.00112159
7,2096.34,1.60372,1.40394,1.31133,0.06849,0.93023,0.07429,0.0303,2.02204,124.621,7.32185,0.00129803,0.00129803,0.00129803
8,2383.32,1.50429,1.23468,1.27357,0.08301,1,0.12426,0.04657,1.85342,163.98,14.0702,0.00147051,0.00147051,0.00147051
9,2626.39,1.51047,1.26799,1.28694,0.02643,1,0.02762,0.01231,2.34667,inf,34.7568,0.00163902,0.00163902,0.00163902
10,2900.72,1.63847,1.27618,1.31977,0.03354,1,0.03563,0.01646,2.00979,207.944,7.139,0.00180358,0.00180358,0.00180358
11,3199.67,1.5644,1.24754,1.31642,0.00805,0.53488,0.00731,0.00225,2.85585,inf,18.7427,0.001802,0.001802,0.001802
12,3492.21,1.53063,1.20446,1.20583,0.00805,0.53488,0.00731,0.00225,3.50618,inf,214.643,0.0017822,0.0017822,0.0017822
13,3794.64,1.5006,1.39527,1.18338,0.00805,0.53488,0.00731,0.00225,3.26791,inf,68.2192,0.0017624,0.0017624,0.0017624
14,4086.37,1.27414,1.01902,1.07667,0.00805,0.53488,0.00731,0.00225,5.06417,inf,91.2405,0.0017426,0.0017426,0.0017426
15,4385.86,1.26443,0.98261,1.12484,0.00109,0.32558,0.00081,0.0002,2.72664,6.91898,3.40215,0.0017228,0.0017228,0.0017228
16,4671.76,1.29961,0.95915,1.12807,0.00133,0.39535,0.00093,0.00017,3.95865,103.459,6.94299,0.001703,0.001703,0.001703
17,4975.81,1.3727,1.11281,1.15667,0.00305,0.23256,0.00189,0.00031,4.22781,63.7536,19.0149,0.0016832,0.0016832,0.0016832
18,5259.65,1.23264,0.97764,1.0907,0.00305,0.23256,0.00189,0.00031,4.01275,7.56517,4.42531,0.0016634,0.0016634,0.0016634
19,5563.76,1.24091,0.93079,1.07671,0.05533,0.25581,0.02661,0.0054,3.07364,5.39999,3.53102,0.0016436,0.0016436,0.0016436
20,5856.15,1.10751,0.89831,1.02399,0.00166,0.04651,0.00092,9e-05,4.7072,7.37766,8.69787,0.0016238,0.0016238,0.0016238
21,6156.63,1.15906,0.90005,1.03727,0.85753,1,0.94063,0.5898,1.08854,2.12184,0.98003,0.001604,0.001604,0.001604
22,6441.9,1.03877,0.85776,1.05256,0.79484,1,0.95663,0.55887,1.08118,3.26042,1.07881,0.0015842,0.0015842,0.0015842
23,6742.68,1.04377,0.79148,1.01782,0.67683,1,0.89031,0.55278,1.08568,2.78883,1.11438,0.0015644,0.0015644,0.0015644
24,7028.03,1.0131,0.77754,1.02531,0.97166,1,0.995,0.69586,0.96494,1.00281,0.91149,0.0015446,0.0015446,0.0015446
25,7324.28,1.12357,0.82987,0.98629,0.98838,1,0.995,0.54387,1.33374,1.17623,0.99225,0.0015248,0.0015248,0.0015248
26,7609.68,1.186,0.86108,1.0342,0.9981,1,0.995,0.74942,0.87539,0.62695,0.8656,0.001505,0.001505,0.001505
27,7909.47,0.91129,0.72445,0.94871,0.99628,1,0.995,0.76865,0.74883,0.72148,0.84709,0.0014852,0.0014852,0.0014852
28,8185.99,0.95311,0.72651,0.97431,0.98359,0.97674,0.99455,0.76474,0.75021,0.56471,0.87992,0.0014654,0.0014654,0.0014654
29,8481.64,0.99622,0.74849,0.99472,0.99542,1,0.995,0.75972,0.8551,0.80781,0.89188,0.0014456,0.0014456,0.0014456
30,8767.89,0.96145,0.76644,0.98476,0.99481,1,0.995,0.83028,0.72398,0.73309,0.84304,0.0014258,0.0014258,0.0014258
31,9065.15,0.91,0.75942,0.98327,0.9976,1,0.995,0.81355,0.73372,0.57569,0.82882,0.001406,0.001406,0.001406
32,9366.21,0.9234,0.72297,0.99073,0.9966,1,0.995,0.84717,0.63285,0.57883,0.82471,0.0013862,0.0013862,0.0013862
33,9666.24,0.94249,0.75019,0.9906,0.99654,1,0.995,0.84467,0.66328,0.4899,0.82795,0.0013664,0.0013664,0.0013664
34,9952.85,0.86317,0.7148,0.97054,0.98565,1,0.995,0.79837,0.81181,0.58578,0.89943,0.0013466,0.0013466,0.0013466
35,10249.5,0.83666,0.66014,0.95346,0.99699,1,0.995,0.85929,0.66621,0.46694,0.84863,0.0013268,0.0013268,0.0013268
36,10535.3,0.80998,0.6652,0.9433,0.99778,1,0.995,0.81882,0.62517,0.48245,0.81681,0.001307,0.001307,0.001307
37,10842,0.83698,0.6896,0.94485,0.99759,1,0.995,0.84355,0.58442,0.42408,0.81906,0.0012872,0.0012872,0.0012872
38,11129.2,0.81681,0.67309,0.94364,0.99538,1,0.995,0.90239,0.48167,0.41931,0.80051,0.0012674,0.0012674,0.0012674
39,11434.7,0.79487,0.65076,0.94065,0.99665,1,0.995,0.8969,0.48982,0.40867,0.79284,0.0012476,0.0012476,0.0012476
40,11715.8,0.70679,0.5807,0.89918,0.99704,1,0.995,0.88932,0.47766,0.42678,0.79424,0.0012278,0.0012278,0.0012278
41,12014.7,0.76402,0.64467,0.92139,0.99759,1,0.995,0.87828,0.53489,0.43923,0.79197,0.001208,0.001208,0.001208
42,12299.7,0.7467,0.60834,0.92274,0.99589,1,0.995,0.88539,0.50139,0.40175,0.81048,0.0011882,0.0011882,0.0011882
43,12598.3,0.7318,0.5954,0.91382,0.99792,1,0.995,0.89467,0.4461,0.38561,0.80007,0.0011684,0.0011684,0.0011684
44,12881.9,0.67932,0.57979,0.90017,0.9977,1,0.995,0.88349,0.50668,0.41892,0.79596,0.0011486,0.0011486,0.0011486
45,13181.5,0.73675,0.63117,0.92152,0.99793,1,0.995,0.90133,0.43747,0.36955,0.78739,0.0011288,0.0011288,0.0011288
46,13468.4,0.68415,0.57697,0.92294,0.99837,1,0.995,0.91003,0.43132,0.38374,0.78934,0.001109,0.001109,0.001109
47,13769.9,0.66208,0.55767,0.907,0.99864,1,0.995,0.90879,0.41022,0.35837,0.78848,0.0010892,0.0010892,0.0010892
48,14052.1,0.68217,0.5378,0.8968,0.99857,1,0.995,0.89867,0.47323,0.37881,0.78679,0.0010694,0.0010694,0.0010694
49,14351.9,0.70216,0.59038,0.92947,0.99857,1,0.995,0.93018,0.44829,0.37745,0.79249,0.0010496,0.0010496,0.0010496
50,14628.4,0.63845,0.54067,0.89642,0.9985,1,0.995,0.89891,0.44683,0.39867,0.78601,0.0010298,0.0010298,0.0010298
51,14931.5,0.67392,0.57123,0.91038,0.99845,1,0.995,0.93213,0.35701,0.34406,0.77545,0.00101,0.00101,0.00101
