epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7616,2.70048,4.49274,1.96,0,0,0,0,5.50109,5.39999,4.01506,0.00018,0.00018,0.00018
2,113.607,1.50147,2.31857,1.21497,0.55769,0.67442,0.53567,0.17819,1.68232,19.8282,1.96214,0.000376238,0.000376238,0.000376238
3,176.738,1.46631,1.65565,1.22291,0.20693,1,0.32363,0.17299,1.33575,11.4456,2.06186,0.000568516,0.000568516,0.000568516
4,233.158,1.28873,1.32027,1.14076,0.00099,0.2093,0.00065,0.00015,4.50683,inf,12.4375,0.000756834,0.000756834,0.000756834
5,290.722,1.54488,1.22733,1.20658,0.00099,0.2093,0.00065,0.00015,3.95694,inf,326.263,0.000941192,0.000941192,0.000941192
6,347.94,1.49803,1.1296,1.26518,0.00288,0.83721,0.00313,0.00074,nan,nan,nan,0.00112159,0.00112159,0.00112159
7,404.743,1.4141,1.11246,1.22957,0.01209,0.13953,0.00578,0.00151,nan,nan,nan,0.00129803,0.00129803,0.00129803
8,461.751,1.42947,1.24819,1.25681,0.01178,0.4186,0.00986,0.00328,2.51222,55.8331,4.49151,0.00147051,0.00147051,0.00147051
9,518.808,1.34823,1.04801,1.22309,0.008,0.2093,0.00305,0.00046,3.71398,35.087,39.789,0.00163902,0.00163902,0.00163902
10,574.794,1.67772,1.06158,1.36295,0.02169,0.72093,0.02306,0.01128,1.7492,inf,71.1834,0.00180358,0.00180358,0.00180358
11,633.697,1.5692,1.22837,1.29333,0.01609,0.62791,0.01269,0.00622,2.21278,inf,244.065,0.001802,0.001802,0.001802
12,689.192,1.35932,1.05403,1.19701,0.01262,0.16279,0.00954,0.00197,3.27058,19.2419,8.86723,0.0017822,0.0017822,0.0017822
13,739.895,1.28967,0.90366,1.21383,0.13331,0.09302,0.08724,0.01758,3.55076,6.24248,5.42081,0.0017624,0.0017624,0.0017624
14,800.608,1.27871,0.86252,1.2023,0.13331,0.09302,0.08724,0.01758,5.1957,4.40048,7.1537,0.0017426,0.0017426,0.0017426
15,854.938,1.20902,0.85186,1.13816,0.01838,0.23256,0.02615,0.00651,3.89812,5.21872,5.00016,0.0017228,0.0017228,0.0017228
16,908.81,1.05202,0.7699,1.0885,0.03373,0.32558,0.02261,0.0073,3.16825,4.38842,2.62967,0.001703,0.001703,0.001703
17,965.318,1.09558,0.8452,1.12925,0.0063,0.09302,0.00595,0.0031,2.34604,4.61212,2.01889,0.0016832,0.0016832,0.0016832
18,1020.15,1.14681,0.79391,1.16509,0.90792,1,0.98662,0.62973,1.33985,0.8063,1.36143,0.0016634,0.0016634,0.0016634
19,1079.68,1.16172,0.77557,1.11964,0.7656,0.95349,0.92829,0.55978,1.48448,1.024,1.52668,0.0016436,0.0016436,0.0016436
20,1146.73,1.02534,0.75299,1.0915,0.7656,0.95349,0.92829,0.55978,3.47786,5.82107,3.25725,0.0016238,0.0016238,0.0016238
21,1202.95,1.00875,0.72635,1.04607,0.7656,0.95349,0.92829,0.55978,3.33358,6.16812,2.29573,0.001604,0.001604,0.001604
22,1255.37,0.97212,0.74004,1.06075,0.32871,0.65116,0.47889,0.28561,1.84944,1.81134,1.7859,0.0015842,0.0015842,0.0015842
23,1311.03,0.97956,0.7127,1.05666,0.62982,0.76744,0.73254,0.44301,1.38242,1.22796,1.37229,0.0015644,0.0015644,0.0015644
24,1363.16,0.99312,0.68759,1.09963,0.67752,0.86047,0.86847,0.61392,1.05039,1.00379,1.2266,0.0015446,0.0015446,0.0015446
25,1418.27,0.92926,0.66433,1.02326,0.93128,0.94556,0.98155,0.75975,0.90825,0.69421,1.15676,0.0015248,0.0015248,0.0015248
26,1475.71,0.95548,0.69407,1.03332,0.96076,1,0.99045,0.75034,0.86997,0.58041,1.05296,0.001505,0.001505,0.001505
27,1532.27,0.90149,0.65533,1.03285,0.99839,1,0.995,0.80725,0.75201,0.5359,1.05526,0.0014852,0.0014852,0.0014852
