epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.23795,2.47313,4.31876,1.6161,0.00129,0.27907,0.00095,0.00041,4.00421,4.30404,3.07201,0.00018,0.00018,0.00018
2,9.88448,1.56893,1.96594,1.1499,0.60606,0.93023,0.67928,0.35412,1.37008,12.719,1.17088,0.000376238,0.000376238,0.000376238
3,14.8616,1.35071,1.32254,1.07686,0.7329,1,0.97076,0.62388,1.22659,3.53568,1.08582,0.000568516,0.000568516,0.000568516
4,19.818,1.37757,1.09878,1.03704,0.68627,0.81395,0.72587,0.33623,1.65653,7.32259,1.573,0.000756834,0.000756834,0.000756834
5,24.6247,1.40947,1.12033,1.109,0.11629,0.34884,0.05961,0.01601,2.76889,4.63897,3.71118,0.000941192,0.000941192,0.000941192
6,29.4234,1.39234,1.05485,1.09418,0.625,0.69767,0.59853,0.29308,1.6622,6.51506,1.92014,0.00112159,0.00112159,0.00112159
7,34.188,1.42311,1.1238,1.07311,0.66481,0.81395,0.82782,0.44927,1.63045,4.10855,2.27434,0.00129803,0.00129803,0.00129803
8,39.084,1.37712,1.05193,1.12412,0.55844,1,0.57064,0.29053,1.51737,27.9121,2.10282,0.00147051,0.00147051,0.00147051
9,43.8376,1.36697,1.05262,1.08817,0.70796,0.90212,0.83051,0.46401,1.55759,5.62728,1.48779,0.00163902,0.00163902,0.00163902
10,48.7093,1.36478,0.98767,1.08406,0.70796,0.90212,0.83051,0.46401,4.69524,52.5975,5.16338,0.00180358,0.00180358,0.00180358
11,53.5545,1.40524,0.99022,1.17013,0.00094,0.27907,0.0006,0.00015,nan,nan,nan,0.001802,0.001802,0.001802
12,58.4454,1.18887,0.89696,1.07485,0.7368,0.88372,0.92484,0.54781,1.27286,1.58102,1.40355,0.0017822,0.0017822,0.0017822
13,63.1362,1.17231,0.84447,1.06865,0.7368,0.88372,0.92484,0.54781,4.46453,5.79105,3.77395,0.0017624,0.0017624,0.0017624
14,67.8544,1.21134,0.84388,1.06658,0.7368,0.88372,0.92484,0.54781,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,72.5816,1.07605,0.79826,1.00643,0.7368,0.88372,0.92484,0.54781,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,77.4618,1.1203,0.79315,1.01354,0.85927,0.7907,0.90588,0.55339,1.34334,0.93123,1.14009,0.001703,0.001703,0.001703
17,82.3767,1.0646,0.76582,0.99614,0.80093,0.90698,0.93998,0.5286,1.34472,1.02719,1.16285,0.0016832,0.0016832,0.0016832
18,87.3,1.17364,0.81552,1.02823,0.79255,0.86047,0.84438,0.43856,1.34064,5.28184,1.33535,0.0016634,0.0016634,0.0016634
19,92.2971,1.06091,0.76657,1.01586,0.82034,0.95576,0.94519,0.5651,1.25663,8.93205,1.11802,0.0016436,0.0016436,0.0016436
20,97.2375,0.99821,0.73632,1.00201,0.94523,1,0.99275,0.71751,0.98222,2.27215,1.13035,0.0016238,0.0016238,0.0016238
21,102.269,1.03401,0.75689,0.99809,0.90639,0.90082,0.96779,0.65787,1.20941,1.80097,1.137,0.001604,0.001604,0.001604
22,107.145,1.02813,0.76284,1.0073,0.94171,0.95349,0.97484,0.62445,1.28831,0.85663,1.20942,0.0015842,0.0015842,0.0015842
23,112.031,0.98257,0.72288,1.00604,0.82707,0.88372,0.92837,0.57963,1.31776,1.03072,1.14396,0.0015644,0.0015644,0.0015644
24,117.039,0.9744,0.7251,1.01929,0.95521,0.992,0.99086,0.72859,0.97309,0.82171,1.03602,0.0015446,0.0015446,0.0015446
25,122.164,0.88229,0.67567,0.96271,0.93562,0.97674,0.99046,0.70782,1.02675,1.06489,1.06901,0.0015248,0.0015248,0.0015248
26,127.23,0.96057,0.69605,0.96689,0.97954,0.95349,0.99046,0.78204,0.99771,0.75049,1.03817,0.001505,0.001505,0.001505
27,132.27,0.89585,0.63939,0.95519,0.97202,1,0.99364,0.73478,1.04648,0.70699,0.98928,0.0014852,0.0014852,0.0014852
28,137.301,0.95511,0.63157,0.94531,0.98445,1,0.995,0.7974,0.79345,0.5689,0.9427,0.0014654,0.0014654,0.0014654
29,142.691,0.85838,0.65152,0.9434,0.99631,1,0.995,0.80637,0.74555,0.60939,0.90295,0.0014456,0.0014456,0.0014456
30,148.196,0.84365,0.64167,0.94915,0.95464,0.97886,0.99365,0.84351,0.76227,0.56318,0.9513,0.0014258,0.0014258,0.0014258
31,153.379,0.85786,0.62074,0.944,0.92907,0.93023,0.98199,0.79806,0.82746,0.67663,0.99225,0.001406,0.001406,0.001406
32,158.48,0.88463,0.60611,0.93735,0.83192,0.95349,0.95987,0.73152,0.94317,0.69026,0.94172,0.0013862,0.0013862,0.0013862
33,163.523,0.92431,0.63919,0.98476,1,0.99744,0.995,0.79209,0.8431,0.63782,0.9203,0.0013664,0.0013664,0.0013664
34,168.721,0.82458,0.62448,0.92417,0.92672,0.88233,0.95886,0.73565,0.95865,0.84644,0.9829,0.0013466,0.0013466,0.0013466
35,173.704,0.79127,0.57399,0.92208,0.97656,0.96909,0.9914,0.80727,0.77561,0.70849,0.9382,0.0013268,0.0013268,0.0013268
36,178.773,0.82495,0.58346,0.9195,0.99837,1,0.995,0.84305,0.68482,0.52812,0.86643,0.001307,0.001307,0.001307
37,183.734,0.85143,0.58916,0.93021,0.99499,1,0.995,0.83269,0.68618,0.52828,0.92738,0.0012872,0.0012872,0.0012872
38,188.842,0.79705,0.60924,0.94484,0.99841,1,0.995,0.89793,0.60194,0.48252,0.86725,0.0012674,0.0012674,0.0012674
39,194.056,0.85106,0.6116,0.91448,0.99845,1,0.995,0.84012,0.61662,0.47801,0.86342,0.0012476,0.0012476,0.0012476
40,199.289,0.72501,0.54704,0.91131,0.9986,1,0.995,0.87129,0.57185,0.50814,0.85422,0.0012278,0.0012278,0.0012278
41,204.234,0.7958,0.56829,0.91938,0.99861,1,0.995,0.87062,0.63351,0.47796,0.84376,0.001208,0.001208,0.001208
42,209.414,0.75518,0.54581,0.924,0.99858,1,0.995,0.83778,0.69869,0.5222,0.86441,0.0011882,0.0011882,0.0011882
43,214.464,0.76492,0.54994,0.90654,0.99861,1,0.995,0.84901,0.61881,0.4874,0.84392,0.0011684,0.0011684,0.0011684
44,219.682,0.7587,0.53671,0.92674,0.99301,1,0.995,0.87276,0.60213,0.48039,0.83781,0.0011486,0.0011486,0.0011486
45,224.73,0.7534,0.54172,0.91857,0.9986,1,0.995,0.89517,0.50787,0.42834,0.83439,0.0011288,0.0011288,0.0011288
46,231.459,0.6996,0.51319,0.89974,0.99835,1,0.995,0.85298,0.56912,0.49826,0.85915,0.001109,0.001109,0.001109
47,237.673,0.69504,0.49229,0.88465,0.29781,0.60465,0.42572,0.21636,1.49613,4.54486,1.33336,0.0010892,0.0010892,0.0010892
48,243.278,0.69813,0.5159,0.89493,0.8303,0.88372,0.93361,0.7127,1.04026,2.46375,0.92731,0.0010694,0.0010694,0.0010694
49,249.436,0.73869,0.52066,0.90241,0.99319,1,0.995,0.78032,0.81334,0.85333,0.87049,0.0010496,0.0010496,0.0010496
50,255.361,0.70188,0.51414,0.89923,0.99848,1,0.995,0.8274,0.61836,0.47307,0.8553,0.0010298,0.0010298,0.0010298
51,261.297,0.69025,0.50753,0.92364,0.99857,1,0.995,0.83518,0.63414,0.45544,0.85231,0.00101,0.00101,0.00101
52,267.514,0.67965,0.51474,0.90524,0.99861,1,0.995,0.9056,0.51668,0.40863,0.82534,0.0009902,0.0009902,0.0009902
53,273.133,0.65149,0.49233,0.88907,0.99852,1,0.995,0.87269,0.48768,0.41885,0.83174,0.0009704,0.0009704,0.0009704
54,278.433,0.63969,0.49981,0.87993,0.99847,1,0.995,0.91048,0.40511,0.39342,0.81361,0.0009506,0.0009506,0.0009506
55,283.802,0.61632,0.48145,0.87588,0.99855,1,0.995,0.89554,0.49783,0.41519,0.8231,0.0009308,0.0009308,0.0009308
56,289.202,0.65679,0.49263,0.898,0.99856,1,0.995,0.90232,0.48724,0.37783,0.82783,0.000911,0.000911,0.000911
57,294.283,0.64107,0.51469,0.89478,0.99862,1,0.995,0.90783,0.49424,0.42832,0.8095,0.0008912,0.0008912,0.0008912
58,299.359,0.65421,0.50133,0.90603,0.9985,1,0.995,0.94845,0.38541,0.3867,0.81262,0.0008714,0.0008714,0.0008714
