epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.837,3.31047,8.86804,2.56745,0,0,0,0,5.57389,8.07802,4.24525,0.00018,0.00018,0.00018
2,650.555,2.25089,5.5939,1.77901,0.56372,0.86047,0.70707,0.2635,2.02813,8.04477,2.12154,0.00034238,0.00034238,0.00034238
3,968.935,1.79952,3.25307,1.4263,0.00373,0.44186,0.00351,0.00076,3.58603,inf,16.9973,0.00046516,0.00046516,0.00046516
4,1292.09,1.69908,2.44258,1.39519,0.03152,1,0.03352,0.0107,2.46527,232.664,61.0389,0.00054834,0.00054834,0.00054834
5,1610.7,1.54673,1.64524,1.15413,0.00555,0.76744,0.00662,0.00157,3.23341,inf,37.4401,0.00059192,0.00059192,0.00059192
6,1918.11,1.44398,1.28518,1.04998,0.02294,0.74419,0.04759,0.01734,3.27031,203.417,27.4217,0.0005959,0.0005959,0.0005959
7,2225.37,1.20176,1.11014,1.00289,0.30702,0.81395,0.41512,0.17838,2.19671,46.0387,4.15245,0.00056028,0.00056028,0.00056028
8,2550.21,1.17154,0.89296,0.98583,0.95455,0.48837,0.87864,0.50194,1.37529,12.0758,1.59293,0.00048506,0.00048506,0.00048506
9,2817.2,1.07744,0.84013,0.93508,0.7255,1,0.97491,0.57664,1.23174,6.60067,1.45471,0.00037024,0.00037024,0.00037024
10,3079.22,0.91732,0.72668,0.8957,0.93415,1,0.9916,0.68291,1.1276,2.00006,1.13028,0.00021582,0.00021582,0.00021582
