epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.1898,3.36161,6.29945,2.50346,0,0,0,0,5.49446,5.35446,4.01726,0.00018,0.00018,0.00018
2,121.619,1.89147,3.67277,1.45007,0.62687,0.97674,0.66936,0.40302,1.43462,9.96879,1.15855,0.00034238,0.00034238,0.00034238
3,190.217,1.33791,1.73776,0.98868,0.27694,0.53488,0.26349,0.06718,2.65306,6.54598,6.09701,0.00046516,0.00046516,0.00046516
4,259.779,1.23814,1.39984,1.011,0.18018,0.93023,0.243,0.07843,2.31245,49.2515,5.90513,0.00054834,0.00054834,0.00054834
5,339.427,1.25475,1.09046,1.07456,0.69565,0.74419,0.75168,0.32412,1.94001,6.64653,3.52023,0.00059192,0.00059192,0.00059192
6,418.033,1.12132,0.94592,0.98628,0.12667,0.30233,0.09073,0.02285,2.68533,6.97044,2.51463,0.0005959,0.0005959,0.0005959
7,488.339,0.99607,0.76201,0.91927,0.13673,0.09302,0.04912,0.02627,3.56065,6.19247,8.51033,0.00056028,0.00056028,0.00056028
8,563.387,1.04173,0.78487,0.89121,0.93267,1,0.99275,0.37507,1.77167,4.5068,1.5695,0.00048506,0.00048506,0.00048506
9,634.671,0.85742,0.73798,0.91755,0.79944,0.93023,0.93931,0.53748,1.12661,2.41284,1.20175,0.00037024,0.00037024,0.00037024
10,703.055,0.7704,0.66804,0.87348,0.9765,0.96645,0.99409,0.61905,1.00681,2.07398,0.94292,0.00021582,0.00021582,0.00021582
