epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9923,2.76384,4.41416,1.84989,0.00105,0.23256,0.00087,0.00031,4.05917,4.32187,3.08253,0.00018,0.00018,0.00018
2,9.37504,1.79731,2.28128,1.28005,0.65944,0.81061,0.81473,0.40882,1.50228,1.66634,1.15748,0.00034238,0.00034238,0.00034238
3,14.1437,1.20893,1.17978,0.97423,0.91504,1,0.98154,0.57027,1.40443,1.86167,1.08328,0.00046516,0.00046516,0.00046516
4,18.9466,1.12982,0.87158,0.85802,1,0.53488,0.97545,0.53883,1.50777,6.25912,1.32268,0.00054834,0.00054834,0.00054834
5,23.6104,1.12097,0.88447,0.89364,0.85722,1,0.94287,0.48489,1.49822,3.53801,1.65208,0.00059192,0.00059192,0.00059192
6,28.4085,1.05886,0.77374,0.89497,0.94872,0.86047,0.96621,0.49944,1.44871,5.03385,1.41684,0.0005959,0.0005959,0.0005959
7,33.3159,0.90019,0.66252,0.86128,0.71566,1,0.93282,0.56163,1.26474,3.80738,1.10346,0.00056028,0.00056028,0.00056028
8,38.0001,0.95024,0.7133,0.8722,0.99544,1,0.995,0.68526,1.02433,1.5159,0.98826,0.00048506,0.00048506,0.00048506
9,42.8323,0.77894,0.60982,0.84892,0.99774,1,0.995,0.77376,0.87518,1.04184,0.90915,0.00037024,0.00037024,0.00037024
10,47.7358,0.6958,0.56384,0.83439,0.95302,1,0.99411,0.76593,0.80432,0.71951,0.87304,0.00021582,0.00021582,0.00021582
